sim_id,final_balance,total_return_pct,total_trades,win_rate,max_drawdown_pct,sharpe_ratio
0,10954680.61888526,1095368.061888526,1283,0.5822291504286827,22.132557872610505,14.99593307033834
1,12015448.995524647,1201444.8995524647,1242,0.5909822866344605,10.898412967624264,15.428010555516087
2,7089608.082125642,708860.8082125642,1286,0.5723172628304821,9.547895527284076,14.247950288337147
3,3868317.764041227,386731.7764041227,1241,0.5656728444802579,11.97843586012507,13.498078194684364
4,7165949.276700117,716494.9276700116,1251,0.5779376498800959,10.771441144486529,14.479530461984027
5,8059890.790995608,805889.0790995607,1245,0.5815261044176707,14.157895782526985,14.718407528655582
6,8336453.893203912,833545.3893203912,1282,0.5764430577223089,12.2287661744477,14.542606522408724
7,20438240.425559107,2043724.0425559105,1253,0.6009577015163607,10.32288584096093,16.27898617698943
8,12145570.603576679,1214457.0603576677,1257,0.588703261734288,10.771441144486541,15.343558077111373
9,44042939.55516291,4404193.955516291,1244,0.6197749196141479,11.661832097404186,17.729928716630692
10,6742459.66761439,674145.966761439,1266,0.5742496050552922,15.198409658689737,14.28395974203067
11,2317202.6609121985,231620.26609121985,1326,0.5429864253393665,11.217752822509613,12.224851767396123
12,29717923.281931657,2971692.328193166,1365,0.5904761904761905,12.980786886743928,16.132830519828588
13,12436971.16541315,1243597.1165413149,1300,0.5823076923076923,11.535948164190229,15.10109872657712
14,8147671.163368126,814667.1163368126,1310,0.5717557251908397,10.000327249209668,14.336837440672529
15,13495127.518083112,1349412.7518083113,1244,0.5932475884244373,10.322885840960923,15.616423466615306
16,13113812.187193241,1311281.218719324,1254,0.5909090909090909,10.771441144486522,15.496664074849075
17,14159241.726389905,1415824.1726389907,1251,0.5931254996003198,12.73260139337323,15.650770169202904
18,17798404.94088413,1779740.4940884127,1300,0.59,11.217752822509594,15.706324739842932
19,16460825.373957232,1645982.5373957232,1311,0.5865751334858886,13.29266351894946,15.501138918070072
20,44173926.99904434,4417292.699904433,1328,0.6046686746987951,9.093189414166353,17.062431119137287
21,32083124.774411857,3208212.4774411856,1262,0.6093502377179081,12.856782494622573,17.008878670899534
22,6155970.251916798,615497.0251916797,1299,0.567359507313318,17.415825706478046,13.938912089420958
